Tên phim,Link review,Thể loại,Ảnh
Người Kiến và Chiến Binh Ong: Thế Giới Lượng Tử,https://www.momo.vn/cinema/antman-and-the-wasp-quantumania-851/review,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hài",https://cinema.momocdn.net/img/86928996194348105-p9jmVtmm29dCHDHBFrOR6WNNaeO.jpg
Sáng Đèn,https://www.momo.vn/cinema/sang-den-23744/review,"Tình cảm, Hài",https://cinema.momocdn.net/img/31861344344647885-SANG-DEN1A6444-Large.jpg
Móng Vuốt,https://www.momo.vn/cinema/mong-vuot-23847/review,"Kinh dị, Hài",https://cinema.momocdn.net/img/10178073409331796-h-01-3319.png
Điềm Báo Của Quỷ,https://www.momo.vn/cinema/the-first-omen-23769/review,Kinh dị,https://cinema.momocdn.net/img/35132326223926717-mIBG74mhGEJnBubhYLkCtvplcNr.jpg
Thanh Gươm Diệt Quỷ: Đường Đến Làng Rèn Gươm,https://www.momo.vn/cinema/demon-slayer-to-the-swordsmith-village-949/review,"Khoa học - Viễn tưởng, Hành động, Hoạt hình",https://cinema.momocdn.net/img/2995739584112335-dejNqqh1jZ6QmysmT9xQQfJkMhW.jpg
Muôn Kiếp Nhân Duyên (Chiếu Lại),https://www.momo.vn/cinema/past-lives-23651/review,"Chính kịch, Lãng mạn",https://cinema.momocdn.net/img/20451341142888004-2SJFhDivnnYfltnxcYecydC0buv.jpg
Joker: Folie à Deux - Điên Có Đôi,https://www.momo.vn/cinema/joker-folie-a-deux-23796/review,"Tội phạm, Tâm lý",https://cinema.momocdn.net/img/37472853539784570-dmG7H1FG1rgLfQA8gh6TRKt3K3I.jpg
Quỷ Treo Đầu,https://www.momo.vn/cinema/home-sweet-hell-24084/review,Kinh dị,https://cinema.momocdn.net/img/49928079928304712-maxresdefault%20(1
Cô Gái Từ Quá Khứ,https://www.momo.vn/cinema/girl-from-the-past-816/review,"Chính kịch, Gay cấn, Ma",https://cinema.momocdn.net/img/82101807833736250-2Ew994vxgJRxV5y6khfMiUiugb6.jpg
Thanh Gươm Trừ Tà,https://www.momo.vn/cinema/dr-cheon-23657/review,"Gay cấn, Bí ẩn, Hành động",https://cinema.momocdn.net/img/21563579861155221-uyCSb9pvLTL6zS10QF4exfWG17v.jpg
Black Adam,https://www.momo.vn/cinema/black-adam-798/review,"Siêu anh hùng, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/78933546392903256-rNkWdDlagqiL4Rguy55SMOrUDUo.jpg
Quái Vật Không Gian: Romulus,https://www.momo.vn/cinema/alien-romulus-23835/review,"Gay cấn, Kinh dị, Khoa học - Viễn tưởng",https://cinema.momocdn.net/img/59077904485778723-7g7cAWKvMKnzJQCxYE4OHfx131t.jpg
Quý Cô Thừa Kế 2,https://www.momo.vn/cinema/quy-co-thua-ke-2-23764/review,Tâm lý,https://cinema.momocdn.net/img/34699271597619825-s8ICQXI2kU2tSfGnL6RUJp23bbo.jpg
Thần Dược (Chiếu lại),https://www.momo.vn/cinema/the-substance-24080/review,"Chính kịch, Kinh dị, Khoa học - Viễn tưởng",https://cinema.momocdn.net/img/63223136649826115-jlWk4J1sV1EHgkjhvsN7EdzGvOx.jpg
Quỷ Thay Đầu,https://www.momo.vn/cinema/baghead-23763/review,Kinh dị,https://cinema.momocdn.net/img/34434884898764693-6048x4024-BH_02197.jpg
Rượu Cốt Người,https://www.momo.vn/cinema/its-remains-23732/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/29776981377889611-fU7knWiJ8ezVLB4gghfw4vtrxL5.jpg
Wonder Woman 1984: Nữ Thần Chiến Binh,https://www.momo.vn/cinema/wonder-woman-1984-477/review,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142354-637908998345758704.jpg
Chàng Nữ Phi Công,https://www.momo.vn/cinema/pilot-23860/review,Hài,https://cinema.momocdn.net/img/100910094790469199-640x396-thepilot.jpg
Kính Vạn Hoa: Bắt Đền Con Ma,https://www.momo.vn/cinema/kinh-van-hoa-24070/review,"Phiêu lưu, Hài",https://cinema.momocdn.net/img/50102797001507820-%5BB%E1%BA%A2N%20%C4%90I%E1%BB%86N%20%E1%BA%A2NH%5D%20-%20Long%20Qu%C3%BD%20H%E1%BA%A1nh.jpg
Bé Ma Của Anh,https://www.momo.vn/cinema/my-boo-23861/review,"Kinh dị, Hài, Lãng mạn",https://cinema.momocdn.net/img/100909761370528799-y1bhcTTYLrXhVt6mbmqodrlxyaU.jpg
Nghề Siêu Dễ,https://www.momo.vn/cinema/extremely-easy-job-647/review,"Hài, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142932-637909001724671461.jpg
Tarot,https://www.momo.vn/cinema/tarot-23811/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/57931939042369709-l6qZSvM5bjLy9DIGj1cflIVtMKe.jpg
Nhân Duyên Tiền Đình,https://www.momo.vn/cinema/honey-sweet-23632/review,Hài,https://cinema.momocdn.net/img/19327437806250693-elCiJakZkeqDqUb3H6eOUHmSIPK.jpg
Quỷ Môn Quan: Phong Ấn,https://www.momo.vn/cinema/them-behind-the-door-24200/review,"Chính kịch, Gay cấn, Kinh dị",https://cinema.momocdn.net/img/86165414062510211-hq720.jpg?size=L
Oppenheimer (Chiếu lại),https://www.momo.vn/cinema/oppenheimer-895/review,"Chính kịch, Chiến tranh, Lịch sử",https://cinema.momocdn.net/img/91346314910670697-ycnO0cjsAROSGJKuMODgRtWsHQw.jpg
Án Mạng Ở Venice,https://www.momo.vn/cinema/a-haunting-in-venice-23565/review,"Chính kịch, Tội phạm, Trinh thám, Hình sự",https://cinema.momocdn.net/img/12744284657527583-kvVEsgFbFIvgFMAo9uAcNEVY8vM.jpg
Nghề Siêu Khó,https://www.momo.vn/cinema/extreme-job-528/review,"Hình sự, Hài, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142511-637908999115099780.jpg
Quỷ Ám: Tín Đồ,https://www.momo.vn/cinema/the-exorcist-believer-23656/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/21567011897958237-f33XdT6dwNXmXQNvQ4FuyhQrUob.jpg
SUGA | Agust D TOUR “D-DAY” The Movie,https://www.momo.vn/cinema/suga-agust-d-tour-dday-the-movie-23776/review,"Âm Nhạc, Tài liệu",https://cinema.momocdn.net/img/35478154829089042-oeExCr5YpzTAEXaW7XR1HAEgIQt.jpg
Minions: Sự Trỗi Dậy Của Gru,https://www.momo.vn/cinema/minions-the-rise-of-gru-674/review,"Gia đình, Phiêu lưu, Hài, Hành động, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143047-637909002477743248.jpg
Hành Trình Của Moana 2,https://www.momo.vn/cinema/moana-2-24062/review,"Gia đình, Phiêu lưu, Hài, Hoạt hình",https://cinema.momocdn.net/img/57279364521566544-tElnmtQ6yz1PjN1kePNl8yMSb59.jpg
Địa Đàng Sụp Đổ,https://www.momo.vn/cinema/concrete-utopia-23617/review,"Chính kịch, Gay cấn, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/17498479334159640-g8kCHQzfogy1t1dE9nPBtiFkz64.jpg
Kumanthong: Quỷ Linh Nhi,https://www.momo.vn/cinema/kumarn-23658/review,"Chính kịch, Gay cấn, Ma, Kinh dị",https://cinema.momocdn.net/img/21565414696105550-m22VHtI3fRFjvlVbVRCGda3py3B.jpg
Bà Thím Báo Thù,https://www.momo.vn/cinema/citizen-of-a-kind-23759/review,"Hài, Hành động",https://cinema.momocdn.net/img/34427365812682739-maxresdefault.jpg
Kraven: Thợ Săn Thủ Lĩnh,https://www.momo.vn/cinema/kraven-the-hunter-24060/review,"Gay cấn, Phiêu lưu, Hành động",https://cinema.momocdn.net/img/57281537783525880-wSlRrIQlPdbouk3z1WopwqV5dvh.jpg
Thanh Sói,https://www.momo.vn/cinema/furies-877/review,Hành động,https://cinema.momocdn.net/img/89885848630148318-eGPtfo4jFPq27pQWTsJgswvL8Zq.jpg
Em Và Trịnh,https://www.momo.vn/cinema/em-va-trinh-658/review,"Tình cảm, Lãng mạn",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143001-637909002017330838.jpg
Quỷ Môn Quan Gọi Hồn,https://www.momo.vn/cinema/back-home-23674/review,Kinh dị,https://cinema.momocdn.net/img/22958356281962243-MV5BMTExZmNmYmMtYWYzZC00MTg5LTgzNjUtNjU0YTViZDcxNTkxXkEyXkFqcGdeQXVyMDIwMTg1OQ@@._V1_.jpg
Người Mặt Trời,https://www.momo.vn/cinema/nguoi-mat-troi-23697/review,Kinh dị,https://cinema.momocdn.net/img/25293688450124331-teaser-nguoi-mat-troi-1693491793.jpg
Mùa Hè Đẹp Nhất,https://www.momo.vn/cinema/mua-he-dep-nhat-23829/review,"Chính kịch, Tình cảm",https://cinema.momocdn.net/img/59074583600710345-phim-mua-he-dep-nhat-tung-teaser-day-hoai-niem-1714768506-0.jpg
Muốn Gặp Anh,https://www.momo.vn/cinema/someday-or-oneday-925/review,"Bí ẩn, Khoa học - Viễn tưởng, Tình cảm, Lãng mạn",https://cinema.momocdn.net/img/911111623966317-wPJKyDq1F9b4VtpF9dz8FPKVuS5.jpg
Khắc Tinh Của Quỷ,https://www.momo.vn/cinema/the-popes-exorcist-953/review,"Bí ẩn, Kinh dị",https://cinema.momocdn.net/img/4186357509197463-5Y5pz0NX7SZS9036I733F7uNcwK.jpg
Án Mạng Lầu 4,https://www.momo.vn/cinema/an-mang-lau-4-23825/review,"Gay cấn, Hình sự",https://cinema.momocdn.net/img/59072969534523187-AML4-13.jpg
Quỷ Cái,https://www.momo.vn/cinema/the-elite-of-devils-23792/review,Kinh dị,https://cinema.momocdn.net/img/36870713860440428-640x396-quy-cai.jpg
Sen Boss Sum Vầy,https://www.momo.vn/cinema/dogs-day-23757/review,"Chính kịch, Hài",https://cinema.momocdn.net/img/33649079371836432-obJgmXo6wYEYs8OuIvRgYhx7tHx.jpg
Argylle: Siêu Điệp Viên,https://www.momo.vn/cinema/argylle-23671/review,"Gay cấn, Phiêu lưu, Hành động",https://cinema.momocdn.net/img/22257487567325851-joDIJOaWJaKBseclpdbViWsas4m.jpg
Paddington: Gấu Thủ Chu Du,https://www.momo.vn/cinema/paddington-in-peru-24211/review,"Gia đình, Phiêu lưu, Hoạt hình",https://image.tmdb.org/t/p/w780/AvIfrjJL9WRk3TziSvOZCTUHKEn.jpg
Shin Cậu Bé Bút Chì: Nhật Ký Khủng Long Của Mình,https://www.momo.vn/cinema/crayon-shinchan-the-movie-our-dinosaur-diary-23947/review,"Gia đình, Phiêu lưu, Hài, Hoạt hình",https://cinema.momocdn.net/img/103928525121533441-vW7lwVHkRePHzayZfoKOyYBeZqO.jpg
Madame Web,https://www.momo.vn/cinema/madame-web-23737/review,"Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/30728282161266246-dwl7raDGUHMaLlENxtE7h1qSH4h.jpg
The Batman,https://www.momo.vn/cinema/the-batman-572/review,"Drama, Giật gân, Siêu anh hùng, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142646-637909000068817427.jpg
Chuyện Ma Giảng Đường - Năm 3,https://www.momo.vn/cinema/haunted-universities-3-23856/review,Kinh dị,https://cinema.momocdn.net/img/45074156123189305-d5V5H0In2b0PtuvuakbJsULaDnL.jpg
Hồn Ma Xác Mẹ,https://www.momo.vn/cinema/perewangan-24202/review,"Gay cấn, Bí ẩn, Kinh dị",https://image.tmdb.org/t/p/w780/2M8AvyJZ78b2cZJa7tyPG3ZdGAX.jpg
BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,https://www.momo.vn/cinema/blackpink-world-tour-born-pink-in-cinemas-23859/review,"Âm Nhạc, Tài liệu",https://cinema.momocdn.net/img/100746587147669902-1aBRILIlhTTmgbLW7x8X2lf5lxG.jpg
Người Nhện: Du Hành Vũ Trụ Nhện,https://www.momo.vn/cinema/spiderman-across-the-spiderverse-894/review,"Siêu anh hùng, Khoa học - Viễn tưởng, Hành động, Hoạt hình",https://homepage.momocdn.net/cinema/momo-upload-api-230921101114-638308878743051069.jpg
Vệ Binh Dải Ngân Hà 3,https://www.momo.vn/cinema/guardians-of-the-galaxy-volume-3-881/review,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-upload-api-230525153955-638206259951368997.jpg
Stalker: Tội Ác Hoàn Hảo,https://www.momo.vn/cinema/stalker-perfect-crime-23848/review,"Bí ẩn, Gay cấn",https://cinema.momocdn.net/img/96786332638856732-865kW14mrLrKgGMMq6ATbBIxnLX.jpg
JUNG KOOK: I AM STILL - The Party Edition,https://www.momo.vn/cinema/jung-kook-i-am-still-24027/review,"Âm Nhạc, Tài liệu",https://cinema.momocdn.net/img/108637838532253755-Capture-2024-10-05-231148.png
Abigail,https://www.momo.vn/cinema/abigail-23806/review,"Gay cấn, Kinh dị, Hài",https://cinema.momocdn.net/img/51610849884337500-ySgY4jBvZ6qchrxKnBg4M8tZp8V.jpg
3DCG! SHIN - CẬU BÉ BÚT CHÌ: ĐẠI CHIẾN SIÊU NĂNG LỰC ~SUSHI BAY~ (chiếu lại),https://www.momo.vn/cinema/shin-jigen-crayon-shinchan-the-movie-chounouryoku-daikessen-tobetobe-temaki-sushi-23589/review,Hoạt hình,https://cinema.momocdn.net/img/15522409287692295-t4xUXeAFAMw0gtMNQ4y3R60KiNr.jpg
WICKED,https://www.momo.vn/cinema/wicked-24043/review,"Chính kịch, Giả tưởng, Lãng mạn",https://cinema.momocdn.net/img/76909638045352144-ljNVBysYnPCwLqP3HXL7T1thZxu.jpg
Quý Công Tử (Chiếu lại),https://www.momo.vn/cinema/the-childe-1007/review,"Gay cấn, Hành động",https://cinema.momocdn.net/img/14dae43f-d29d-4fb5-bdaf-fcfbdfdc736c-67606546448802114.jpg
Anh Trai Vượt Mọi Tam Tai,https://www.momo.vn/cinema/the-desperate-chase-24028/review,"Phiêu lưu, Hài, Hành động",https://cinema.momocdn.net/img/76648897702403338-Thumb-Main-1920x1080.jpg
Đêm Tối Rực Rỡ,https://www.momo.vn/cinema/dem-toi-ruc-ro-649/review,"Chính kịch, Gay cấn, Gia đình",https://cinema.momocdn.net/img/ae32de80-cdee-42ce-b262-3c58bcc496c6-4276320182401649.png
Nhà Không Bán,https://www.momo.vn/cinema/nha-khong-ban-612/review,"Ma, Kinh dị, Hài",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142817-637909000974096073.jpg
Mộ Đom Đóm,https://www.momo.vn/cinema/grave-of-the-fireflies-24050/review,"Chính kịch, Chiến tranh, Hoạt hình",https://cinema.momocdn.net/img/6039001166467941-gwj4R8Uy1GwejKqfofREKI9Jh7L.jpg
Nàng Tiên Cá,https://www.momo.vn/cinema/the-little-mermaid-984/review,"Gia đình, Phiêu lưu, Khoa học - Viễn tưởng, Lãng mạn",https://homepage.momocdn.net/cinema/momo-upload-api-230525153835-638206259158073109.jpg
Thiên Đường Quả Báo,https://www.momo.vn/cinema/the-paradise-of-thorns-24073/review,"Chính kịch, Gay cấn",https://cinema.momocdn.net/img/103245124976517528-1NqF5Gg1Hqk9grmTqiHLWdu91lc.jpg
Ngài Quỷ,https://www.momo.vn/cinema/devils-stay-24180/review,"Bí ẩn, Kinh dị",https://image.tmdb.org/t/p/w780/cvHHTuhTPBnpdar2LRDQrrYn2hg.jpg
Chiến Binh Báo Đen 2: Wakanda Bất Diệt,https://www.momo.vn/cinema/black-panther-wakanda-forever-796/review,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/78932088735399512-jfD92h1JMirOJqgSfc1qnSbnEv2.jpg
Gấu Đỏ Biến Hình (Chiếu lại),https://www.momo.vn/cinema/turning-red-634/review,"Gia đình, Khoa học - Viễn tưởng, Hài, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142915-637909001559812979.jpg
Thanh Gươm Diệt Quỷ: Chuyến Tàu Vô Tận,https://www.momo.vn/cinema/demon-slayer-mugen-train-492/review,"Chính kịch, Phiêu lưu, Khoa học - Viễn tưởng, Hành động, Hoạt hình",https://cinema.momocdn.net/img/f10f4ad3-219f-46b2-a25a-33e9afb4faa8-4242000253812410.png
Vong Nhi,https://www.momo.vn/cinema/vong-nhi-918/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/307928999955560-vong-nhi-4-7036.jpg
Chờ Người Nơi Pháo Hoa Rực Rỡ,https://www.momo.vn/cinema/a-balloons-landing-23858/review,Chính kịch,https://cinema.momocdn.net/img/100233651998846310-uTZju1zwQ7KeKe2VbTRIjerhED3.jpg
Gangnam Thất Thủ,https://www.momo.vn/cinema/gangnam-zombie-901/review,"Chính kịch, Gay cấn, Kinh dị, Hành động",https://cinema.momocdn.net/img/92295111527236907-fullsizephoto1582161.jpg
Nhím Sonic 3,https://www.momo.vn/cinema/sonic-the-hedgehog-3-24067/review,"Gia đình, Phiêu lưu, Hài, Hành động, Hoạt hình",https://cinema.momocdn.net/img/57282059092849670-kl7VTxjOH75yxtpyEwluX0BlSkP.jpg
Thor: Tình Yêu Và Sấm Sét,https://www.momo.vn/cinema/thor-love-and-thunder-665/review,"Siêu anh hùng, Khoa học - Viễn tưởng, Hài, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143034-637909002345192612.jpg
Oan Hồn Báo Án,https://www.momo.vn/cinema/vina-before-7-days-23946/review,"Chính kịch, Gay cấn, Bí ẩn, Kinh dị, Hình sự",https://cinema.momocdn.net/img/103830027670265112-1V3nxNu6xwxOFQdMsCM699OsJCK.jpg
Điều Ước,https://www.momo.vn/cinema/wish-23591/review,"Gia đình, Âm Nhạc, Khoa học - Viễn tưởng, Hoạt hình",https://cinema.momocdn.net/img/15591454343936610-mEcCz4Nzw57wJIXo6g69q9NUQih.jpg
Lời Thì Thầm Của Trái Tim,https://www.momo.vn/cinema/whisper-of-the-heart-1995-24206/review,"Chính kịch, Gia đình, Hoạt hình",https://image.tmdb.org/t/p/w780/fjwQVlYKN31aV9ns8PdIeZJIFaR.jpg
Bóng Ðè,https://www.momo.vn/cinema/the-ancestral-646/review,"Gay cấn, Ma, Kinh dị",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142931-637909001715889886.jpg
Vầng Trăng Máu,https://www.momo.vn/cinema/killers-of-the-flower-moon-23648/review,"Chính kịch, Gay cấn, Hình sự",https://cinema.momocdn.net/img/20453879930780128-1DXD1dMkd0H764jFdfJbL7ItJLD.jpg
Fu Bao: Bảo Bối Của Ông,https://www.momo.vn/cinema/my-dearest-fubao-24055/review,"Hoạt hình, Tài liệu",https://cinema.momocdn.net/img/57045941464242605-Capture-2024-10-03-225908.png
FLASH,https://www.momo.vn/cinema/the-flash-933/review,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-upload-api-230802110015-638265708150331533.jpg
Alienoid 2: Đa Chiều Hỗn Chiến,https://www.momo.vn/cinema/alienoid-2-23726/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/29183200873337723-nJz0Se2rVC45pogaeYwy3ZZBTuN.jpg
Nhiệm Vụ Bất Khả Thi 7: Nghiệp Báo Phần 1,https://www.momo.vn/cinema/mission-impossible-dead-reckoning-part-one-1002/review,"Gay cấn, Phiêu lưu, Hành động",https://cinema.momocdn.net/img/7c75f013-ead2-4b3c-963a-fb2cac97ec50-32334497063551737.jpg
ONE PIECE FILM RED,https://www.momo.vn/cinema/one-piece-film-red-841/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động, Hoạt hình",https://cinema.momocdn.net/img/85633944391912277-54PmeEzQMvpojpJBku61ZGQnWUX.jpg
Ma Cây,https://www.momo.vn/cinema/respati-23948/review,"Gay cấn, Kinh dị, Giả tưởng",https://cinema.momocdn.net/img/103932225762398377-w2BRJ9rl0Q1H2xpRNLByKZacr4L.jpg
Đặc Vụ Xuyên Quốc Gia,https://www.momo.vn/cinema/confidential-assignment-2-international-843/review,"Hình sự, Hài, Hành động",https://cinema.momocdn.net/img/85815704642097333-xov3ufX4ZRyw2pSF3XLNjtvZPw4.jpg
Nhà Chứa Quỷ,https://www.momo.vn/cinema/mystery-writer-23862/review,Kinh dị,https://cinema.momocdn.net/img/100910579312600155-640x396-ncq.jpg
Chú Thuật Hồi Chiến: 0,https://www.momo.vn/cinema/jujutsu-kaisen-0-642/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142923-637909001637306000.jpg
B4S - Trước Giờ Yêu,https://www.momo.vn/cinema/b4s-23754/review,"Tình cảm, Hài",https://cinema.momocdn.net/img/33649793532694854-1280wx720h.jpg
Oan Hồn Sản Phụ,https://www.momo.vn/cinema/lembayung-24208/review,"Gay cấn, Kinh dị",https://image.tmdb.org/t/p/w780/1LSMstNHwJnJD7tpnb8gZcgGNQR.jpg
Mất Tích,https://www.momo.vn/cinema/missing-939/review,"Chính kịch, Gay cấn, Bí ẩn",https://cinema.momocdn.net/img/1869846491636635-dhfU1d6V25BGEHDAoPrERQFmsl2.jpg
Mèo Mập Mang 10 Mạng,https://www.momo.vn/cinema/10-lives-23813/review,"Gia đình, Giả tưởng, Hài, Hoạt hình",https://cinema.momocdn.net/img/57931658546448504-FzntbxhtPGp5gVmie16ry3k7Ow.jpg
Lốc Xoáy Tử Thần,https://www.momo.vn/cinema/twisters-23830/review,"Chính kịch, Phiêu lưu, Hành động",https://cinema.momocdn.net/img/59075876829131350-eLlglZsphAtqknkMsS39gswYaRn.jpg
Năm Đêm Kinh Hoàng,https://www.momo.vn/cinema/five-nights-at-freddys-23666/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/22256683797545579-whB2PJfxrDWwwksprliJTjYbcZJ.jpg
Quỷ Quyệt: Cửa Đỏ Vô Định,https://www.momo.vn/cinema/insidious-the-red-door-1013/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/9bc5e042-cebf-492c-8b33-56151a69fd04-67607886538841908.jpg
Đấu Trường Sinh Tử: Khúc Ca Của Chim Ca & Rắn Độc,https://www.momo.vn/cinema/the-hunger-games-the-ballad-of-songbirds-snakes-23561/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/12752509469135543-cHmNFjMPNY7lt8BiMD95rAfHMZu.jpg
Một Mình Vẫn Ổn't,https://www.momo.vn/cinema/single-in-seoul-23715/review,"Tình cảm, Hài, Lãng mạn",https://cinema.momocdn.net/img/27194122555873293-9Rpzr3ViIcoPSDPdCy2pYFhRMqz.jpg
Cú Úp Rổ Đầu Tiên (Chiếu Lại),https://www.momo.vn/cinema/the-first-slam-dunk-976/review,"Chính kịch, Hài, Hoạt hình, Thể thao",https://cinema.momocdn.net/img/6606965690142411-zjpYDQlhvrAaohKRShu522sKJ87.jpg
Âm Hồn Đô Thị,https://www.momo.vn/cinema/taste-of-horror-23676/review,"Ma, Kinh dị",https://image.tmdb.org/t/p/w780/rzN3ZrvRnN6gqGf4YNRuy6gIUg9.jpg
Võ Sĩ Giác Đấu II,https://www.momo.vn/cinema/gladiator-ii-24065/review,"Phiêu lưu, Hành động",https://cinema.momocdn.net/img/51740683338487232-8mjYwWT50GkRrrRdyHzJorfEfcl.jpg
Tri Kỷ (Chiếu lại),https://www.momo.vn/cinema/soulmate-952/review,Chính kịch,https://cinema.momocdn.net/img/3523339645022618-eSSZgM4vMcA4XK2FPptLa9NFsAs.jpg
Tri Âm: Người Giữ Thời Gian,https://www.momo.vn/cinema/tri-am-nguoi-giu-thoi-gian-954/review,"Chính kịch, Âm Nhạc, Tài liệu",https://cinema.momocdn.net/img/4185682583905222-tri-am-the-movie-nguoi-giu-thoi-gian-700.jpg
Thánh Vật Của Quỷ,https://www.momo.vn/cinema/consecration-934/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/1778205748608189-jBDPhmB0LJ6fYTRatzqOsWp8lJw.jpg
Cầu Hồn,https://www.momo.vn/cinema/the-bridge-curse-ritual-23694/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/25293269535404629-siSlEv6zRUU1kUSKfPoK2zWDQIK.jpg
Bến Phà Xác Sống,https://www.momo.vn/cinema/ben-pha-xac-song-23627/review,Thảm hoạ,https://cinema.momocdn.net/img/18545612816021684-posterofficial-1692413263406628096248-18-0-693-1080-crop-16924134844361146234724.jpg
1990,https://www.momo.vn/cinema/1990-80/review,"Tâm lý, Hài, Lãng mạn",https://homepage.momocdn.net/cinema/momo-cdn-api-220615135321-637908980013854990.jpg
Cười,https://www.momo.vn/cinema/smile-777/review,Kinh dị,https://homepage.momocdn.net/cinema/momo-cdn-api-220624113003-637916670036729145.jpg
Mười: Lời Nguyền Trở Lại,https://www.momo.vn/cinema/muoi-loi-nguyen-tro-lai-815/review,"Bí ẩn, Gay cấn",https://cinema.momocdn.net/img/81744626251182171-hc8U8eNUqbuGTsIHWFrwwxh4yPd.jpg
Không Nói Điều Dữ,https://www.momo.vn/cinema/speak-no-evil-23838/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/59078933710903969-5jYHS05uc6LlqnH7RPCEGENFP2z.jpg
Blue Beetle,https://www.momo.vn/cinema/blue-beetle-968/review,"Siêu anh hùng, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/12074703954848139-5914585749257504-mJ4ypfXnU6Ke15gf4MWwSjIHoHs.jpg
Shazam! Cơn Thịnh Nộ Của Các Vị Thần,https://www.momo.vn/cinema/shazam-fury-of-the-gods-797/review,"Siêu anh hùng, Khoa học - Viễn tưởng, Hài, Hành động",https://cinema.momocdn.net/img/78933142712121817-lKoIpmbmd9vcjwgkmnVRp8YZEe3.jpg
Soul: Cuộc Sống Nhiệm Màu,https://www.momo.vn/cinema/soul-509/review,"Gia đình, Âm Nhạc, Phiêu lưu, Khoa học - Viễn tưởng, Hài, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142436-637908998764815296.jpg
Moonfall,https://www.momo.vn/cinema/moonfall-610/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142814-637909000947870630.jpg
Dracula: Quỷ Dữ Thức Tỉnh,https://www.momo.vn/cinema/the-last-voyage-of-the-demeter-23601/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/16299530772843579-ksPPn1SI3AhGy4WHpQfoHFVXwwe.jpg
Thế Giới Khủng Long: Lãnh Địa,https://www.momo.vn/cinema/jurassic-world-dominion-675/review,"Gay cấn, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143049-637909002493728824.jpg
Look Back: Liệu Ta Có Dám Nhìn Lại?,https://www.momo.vn/cinema/ルックバック-24034/review,"Chính kịch, Hoạt hình",https://cinema.momocdn.net/img/76660972645367515-ferCaHqwvh1r5SiIfToT9qZHNaL.jpg
Sinh Vật Huyền Bí: Những Bí Mật của Dumbledore,https://www.momo.vn/cinema/fantastic-beasts-the-secrets-of-dumbledore-591/review,"Bí ẩn, Phiêu lưu, Khoa học - Viễn tưởng",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142730-637909000506582830.jpg
Lừa Đểu Gặp Lừa Đảo,https://www.momo.vn/cinema/the-conheartist-497/review,"Hài, Lãng mạn",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142425-637908998655957681.jpg
